year,month,code_cl,sex,min_age,max_age,n
2022,4,O23,male,28,73,25
2022,4,O2G,female,37,73,13
2022,4,O2G,male,32,69,28
2022,4,O47,female,46,75,49
2022,4,O47,male,35,75,50
2022,4,O4U,female,33,44,3
2022,4,O4U,male,43,47,2
2022,4,OB6,female,66,69,3
2022,4,OB8,female,48,73,10
2022,4,OB8,male,42,72,22
2022,4,OC4,female,44,50,3
2022,4,OC4,male,73,73,1
2022,4,OC8,female,62,70,3
2022,4,OC8,male,67,67,1
2022,4,OE6,female,47,75,6
2022,4,OE6,male,48,67,4
2022,4,OF2,female,35,60,4
2022,4,OF2,male,55,74,7
2022,4,OG1,female,35,75,35
2022,4,OG1,male,32,73,38
2022,4,OG5,female,67,72,2
2022,4,OG5,male,51,67,3
2022,4,OI3,male,66,66,1
2022,4,OJ3,female,42,42,1
2022,4,OJ3,male,64,72,2
2022,4,ON2,male,62,62,1
2022,4,OO3,male,49,49,1
2022,4,OO4,female,30,75,18
2022,4,OO4,male,31,74,31
2022,4,OO9,female,56,56,1
2022,4,OO9,male,59,63,2
2022,4,OV4,female,56,60,2
2022,4,OV4,male,47,73,4
2022,5,O0J,female,30,71,32
2022,5,O0J,male,30,75,37
2022,5,O13,female,24,75,168
2022,5,O13,male,26,75,195
2022,5,O14,female,57,73,5
2022,5,O14,male,49,73,10
2022,5,O15,female,70,70,1
2022,5,O15,male,54,67,6
2022,5,O16,female,53,61,3
2022,5,O16,male,69,69,1
2022,5,O17,female,35,73,11
2022,5,O17,male,39,72,14
2022,5,O18,female,59,59,1
2022,5,O18,male,64,74,3
2022,5,O19,male,42,72,7
2022,5,O1D,male,56,56,1
2022,5,O1S,male,66,66,1
2022,5,O1U,female,71,74,2
2022,5,O1U,male,61,68,2
2022,5,O20,female,50,68,5
2022,5,O20,male,68,73,2
2022,5,O21,female,46,75,12
2022,5,O21,male,48,74,12
2022,5,O23,female,35,74,41
2022,5,O23,male,32,74,42
2022,5,O2G,female,39,75,21
2022,5,O2G,male,41,74,24
2022,5,O2J,male,46,46,1
2022,5,O2K,male,68,72,2
2022,5,O47,female,40,75,65
2022,5,O47,male,35,74,75
2022,5,O4U,female,28,28,1
2022,5,O4U,male,47,50,3
2022,5,OB6,female,61,70,6
2022,5,OB6,male,53,72,3
2022,5,OB8,female,57,74,6
2022,5,OB8,male,53,74,28
2022,5,OC4,female,50,64,2
2022,5,OC8,male,67,68,2
2022,5,OE6,female,51,74,5
2022,5,OE6,male,51,66,5
2022,5,OF2,female,66,74,3
2022,5,OF2,male,46,72,10
2022,5,OG1,female,35,75,24
2022,5,OG1,male,33,75,26
2022,5,OG5,female,61,65,2
2022,5,OG5,male,48,66,4
2022,5,OI3,female,68,68,1
2022,5,OJ3,female,49,68,5
2022,5,OJ3,male,49,55,3
2022,5,OL7,female,71,71,1
2022,5,OO4,female,37,73,27
2022,5,OO4,male,39,74,33
2022,5,OO9,female,57,71,4
2022,5,OO9,male,54,64,2
2022,5,OV4,female,57,67,3
2022,5,OV4,male,75,75,1
2022,6,O0J,female,30,74,43
2022,6,O0J,male,30,75,47
2022,6,O13,female,24,75,161
2022,6,O13,male,25,75,193
2022,6,O14,female,54,74,7
2022,6,O14,male,48,73,16
2022,6,O15,female,53,68,4
2022,6,O15,male,49,74,4
2022,6,O16,female,55,67,3
2022,6,O17,female,41,73,14
2022,6,O17,male,32,74,13
2022,6,O18,female,60,68,2
2022,6,O18,male,57,72,5
2022,6,O19,female,51,74,5
2022,6,O19,male,61,72,7
2022,6,O1D,female,52,52,1
2022,6,O1D,male,68,68,1
2022,6,O1S,male,63,72,4
2022,6,O1U,male,62,62,1
2022,6,O20,female,45,73,13
2022,6,O20,male,36,65,5
2022,6,O21,female,42,72,11
2022,6,O21,male,56,69,5
2022,6,O23,female,28,75,66
2022,6,O23,male,50,75,35
2022,6,O2G,female,42,71,25
2022,6,O2G,male,37,74,24
2022,6,O47,female,37,74,61
2022,6,O47,male,35,74,65
2022,6,O4U,female,28,44,3
2022,6,O4U,male,33,43,2
2022,6,OB6,female,57,74,7
2022,6,OB8,female,49,74,9
2022,6,OB8,male,49,73,17
2022,6,OC4,female,44,63,6
2022,6,OC4,male,73,73,1
2022,6,OC8,female,67,67,1
2022,6,OC8,male,64,64,1
2022,6,OE6,female,64,75,6
2022,6,OE6,male,39,74,6
2022,6,OF2,female,59,67,3
2022,6,OF2,male,63,74,7
2022,6,OG1,female,34,75,37
2022,6,OG1,male,32,75,30
2022,6,OG5,female,67,67,1
2022,6,OG5,male,46,63,3
2022,6,OJ3,female,32,32,1
2022,6,OJ3,male,39,69,4
2022,6,OL7,male,61,61,1
2022,6,ON2,male,56,72,2
2022,6,OO2,female,63,63,1
2022,6,OO4,female,29,72,45
2022,6,OO4,male,34,74,44
2022,6,OO9,female,64,64,1
2022,6,OO9,male,60,60,1
2022,6,OV4,female,62,67,2
2022,6,OV4,male,24,73,5
2022,7,O0J,female,35,74,43
2022,7,O0J,male,38,75,38
2022,7,O13,female,24,75,124
2022,7,O13,male,20,74,120
2022,7,O14,female,62,70,5
2022,7,O14,male,54,75,20
2022,7,O15,female,52,56,2
2022,7,O15,male,33,69,5
2022,7,O16,female,54,62,2
2022,7,O16,male,55,69,2
2022,7,O17,female,31,74,11
2022,7,O17,male,39,73,18
2022,7,O18,female,47,74,3
2022,7,O18,male,45,70,5
2022,7,O19,female,56,71,6
2022,7,O19,male,53,69,5
2022,7,O1S,male,72,72,1
2022,7,O1U,male,62,69,2
2022,7,O20,female,45,66,5
2022,7,O20,male,44,73,9
2022,7,O21,female,33,75,9
2022,7,O21,male,52,74,9
2022,7,O23,female,28,74,43
2022,7,O23,male,23,73,32
2022,7,O2G,female,20,75,23
2022,7,O2G,male,32,75,24
2022,7,O47,female,24,75,63
2022,7,O47,male,44,75,69
2022,7,O4U,female,28,61,3
2022,7,O4U,male,47,50,2
2022,7,OB6,female,68,68,2
2022,7,OB6,male,62,65,2
2022,7,OB8,female,46,70,5
2022,7,OB8,male,49,74,17
2022,7,OC4,female,56,69,4
2022,7,OC4,male,41,73,5
2022,7,OC8,female,54,70,3
2022,7,OE6,female,47,75,3
2022,7,OE6,male,48,64,4
2022,7,OF2,female,48,74,7
2022,7,OF2,male,45,71,10
2022,7,OG1,female,37,75,30
2022,7,OG1,male,49,72,27
2022,7,OG5,female,72,72,1
2022,7,OG5,male,51,73,3
2022,7,OJ3,female,42,65,5
2022,7,OJ3,male,49,75,6
2022,7,OL7,male,61,61,1
2022,7,OO2,female,57,57,1
2022,7,OO4,female,40,75,23
2022,7,OO4,male,41,74,34
2022,7,OO9,male,50,64,2
2022,7,OV4,female,53,62,3
2022,7,OV4,male,24,73,7
2022,8,O0J,female,29,74,40
2022,8,O0J,male,30,75,44
2022,8,O13,female,25,75,168
2022,8,O13,male,18,75,168
2022,8,O14,female,41,75,8
2022,8,O14,male,47,71,9
2022,8,O15,female,53,53,1
2022,8,O15,male,54,64,6
2022,8,O16,female,61,65,2
2022,8,O16,male,22,22,1
2022,8,O17,female,41,68,12
2022,8,O17,male,39,67,14
2022,8,O18,female,51,72,2
2022,8,O18,male,69,74,2
2022,8,O19,female,51,51,1
2022,8,O19,male,63,75,7
2022,8,O1D,male,45,45,1
2022,8,O1S,male,66,72,2
2022,8,O1U,female,71,74,5
2022,8,O1U,male,61,61,1
2022,8,O20,female,52,64,7
2022,8,O20,male,54,73,4
2022,8,O21,female,47,75,17
2022,8,O21,male,56,74,4
2022,8,O23,female,31,74,56
2022,8,O23,male,36,74,38
2022,8,O2G,female,38,74,24
2022,8,O2G,male,39,72,21
2022,8,O47,female,48,75,54
2022,8,O47,male,35,74,63
2022,8,O4U,female,33,44,3
2022,8,O4U,male,33,50,3
2022,8,OB6,female,61,70,3
2022,8,OB6,male,53,66,5
2022,8,OB8,female,63,69,3
2022,8,OB8,male,42,74,19
2022,8,OC4,female,51,56,3
2022,8,OC4,male,73,73,1
2022,8,OC8,female,51,51,1
2022,8,OC8,male,67,68,2
2022,8,OE6,female,70,75,4
2022,8,OE6,male,39,74,10
2022,8,OF2,female,41,69,2
2022,8,OF2,male,46,72,8
2022,8,OG1,female,38,74,22
2022,8,OG1,male,36,75,33
2022,8,OG5,female,51,73,4
2022,8,OG5,male,48,66,4
2022,8,OJ3,female,55,68,3
2022,8,OJ3,male,39,72,7
2022,8,OL7,male,53,66,2
2022,8,ON2,male,58,58,1
2022,8,OO4,female,30,75,24
2022,8,OO4,male,47,71,19
2022,8,OO9,female,56,56,1
2022,8,OO9,male,51,59,2
2022,8,OV4,female,54,67,3
2022,8,OV4,male,47,75,2
2022,9,O0J,female,16,74,48
2022,9,O0J,male,33,75,42
2022,9,O13,female,24,75,176
2022,9,O13,male,18,75,176
2022,9,O14,female,49,74,12
2022,9,O14,male,42,73,12
2022,9,O15,female,45,55,2
2022,9,O15,male,36,66,5
2022,9,O16,female,54,67,6
2022,9,O16,male,55,58,3
2022,9,O17,female,50,68,13
2022,9,O17,male,32,74,20
2022,9,O18,female,58,60,3
2022,9,O18,male,64,74,3
2022,9,O19,female,62,62,1
2022,9,O19,male,60,74,5
2022,9,O1D,female,61,61,1
2022,9,O1S,male,63,72,2
2022,9,O1U,male,68,68,1
2022,9,O20,female,59,73,6
2022,9,O20,male,36,73,8
2022,9,O21,female,59,74,11
2022,9,O21,male,53,69,9
2022,9,O23,female,25,74,70
2022,9,O23,male,28,74,47
2022,9,O29,male,71,71,1
2022,9,O2G,female,20,73,25
2022,9,O2G,male,35,74,26
2022,9,O2K,male,71,71,1
2022,9,O47,female,24,75,64
2022,9,O47,male,35,74,73
2022,9,O4U,female,24,45,3
2022,9,O4U,male,33,50,2
2022,9,OB6,female,57,68,3
2022,9,OB6,male,53,71,5
2022,9,OB8,female,49,74,6
2022,9,OB8,male,54,75,21
2022,9,OC4,female,56,56,1
2022,9,OE6,female,51,75,6
2022,9,OE6,male,51,72,3
2022,9,OF2,female,35,70,7
2022,9,OF2,male,26,74,4
2022,9,OG1,female,30,75,29
2022,9,OG1,male,20,74,32
2022,9,OG5,female,51,73,4
2022,9,OG5,male,47,73,6
2022,9,OI3,male,66,66,1
2022,9,OJ3,female,55,65,2
2022,9,OJ3,male,50,50,1
2022,9,ON2,male,56,56,1
2022,9,OO4,female,20,75,32
2022,9,OO4,male,41,74,39
2022,9,OO9,female,57,71,4
2022,9,OO9,male,64,64,1
2022,9,OV4,female,57,62,3
2022,9,OV4,male,55,74,6
