c_unit	u_name	dep_name
O79	หูคอจมูก-HEAD-NECK	สาขาวิชาโสต ศอ นาสิกวิทยา
O80	หูคอจมูก-RHINO	สาขาวิชาโสต ศอ นาสิกวิทยา
O81	ทำแผลฉีดยา (ฉีดยา)	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O82	สูติ-COUNSELLING	สาขาวิชาสูติศาสตร์และนรีเวชวิทยา
O83	ห้องพักฟื้น	สาขาวิชาวิสัญญีวิทยา
O87	นรีเวช-MENOPAUSE	สาขาวิชาสูติศาสตร์และนรีเวชวิทยา
O88	ห้องผ่าตัดเล็ก	สาขาวิชาวิสัญญีวิทยา
O89	หูคอจมูก-PED-ENT	สาขาวิชาโสต ศอ นาสิกวิทยา
O08	เด็ก-NEPHRO	สาขาวิชากุมารเวชศาสตร์
O90	ห้องสลายนิ่ว	สาขาวิชารังสีวิทยา
O91	SURGICAL DAY CARE	สาขาวิชาวิสัญญีวิทยา
O92	ตา-PED	สาขาวิชาจักษุวิทยา
O93	ตา-MUSCLE	สาขาวิชาจักษุวิทยา
O94	ตา-LOW VISION	สาขาวิชาจักษุวิทยา
O95	ตา-RETINA	สาขาวิชาจักษุวิทยา
O96	ตา-GLAUCOMA	สาขาวิชาจักษุวิทยา
O97	ตา-CORNEA	สาขาวิชาจักษุวิทยา
O99	รังสีวินิจฉัย	สาขาวิชารังสีวิทยา
OA1	นิติเวช	สาขาวิชาพยาธิวิทยา
OA2	ฮ-นอกเวลาURO	สาขาวิชาอายุรศาสตร์
OA4	อายุร-กระดูกพรุน	สาขาวิชาอายุรศาสตร์
O29	ผิวหนัง	สาขาวิชาอายุรศาสตร์
O30	นรีเวช .	สาขาวิชาสูติศาสตร์และนรีเวชวิทยา
O84	เวชปฏิบัติทั่วไป	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O45	ฝังเข็ม	สาขาวิชาวิสัญญีวิทยา
O43	ทันตกรรม	ฝ่ายทันตกรรม
O12	เด็ก-NEURO	สาขาวิชากุมารเวชศาสตร์
O20	อายุร-HEMATO	สาขาวิชาอายุรศาสตร์
O54	ห้องคลอด	สาขาวิชาสูติศาสตร์และนรีเวชวิทยา
O35	ฝากครรภ์ .	สาขาวิชาสูติศาสตร์และนรีเวชวิทยา
OA5	ปฐมภูมิ	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
OA6	นอกเวลารังสีรักษา(ฉา	สาขาวิชารังสีวิทยา
OA9	รังสีร่วมรักษา	สาขาวิชารังสีวิทยา
OA8	พยาธิวิทยา	สาขาวิชาพยาธิวิทยา
OB2	ตา-BOTOX	สาขาวิชาจักษุวิทยา
OB1	ตา-CMV	สาขาวิชาจักษุวิทยา
OB3	ตา-ศูนย์ LASIK	สาขาวิชาจักษุวิทยา
OB4	ระงับปวด	สาขาวิชาวิสัญญีวิทยา
OB7	ตา-CL	สาขาวิชาจักษุวิทยา
OB6	อายุร-SCOPE GI	สาขาวิชาอายุรศาสตร์
OB5	ควบคุมการติดเชื้อ	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
OB8	ศูนย์โรคหัวใจ	สาขาวิชาอายุรศาสตร์
OB9	สิทธิประโยชน์	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
OC1	อายุร-BoTox	สาขาวิชาอายุรศาสตร์
OC3	ศัลย-URODYNAMIC	สาขาวิชาศัลยศาสตร์
OC4	อายุร-ONCO	สาขาวิชาอายุรศาสตร์
OC6	กิจกรรมบำบัด	สาขาวิชาออร์โธปิดิกส์
OC5	ฟื้นฟู-ลดเกร็ง	สาขาวิชาเวชศาสตร์ฟื้นฟู
OD1	หูคอจมูก-Botox	สาขาวิชาโสต ศอ นาสิกวิทยา
OD3	หูคอจมูก-Voice Disor	สาขาวิชาโสต ศอ นาสิกวิทยา
OD2	หูคอจมูก-นอนกรน	สาขาวิชาโสต ศอ นาสิกวิทยา
OC8	อายุร-SCOPE ปอด	สาขาวิชาอายุรศาสตร์
OD6	เวชฯ-ตรวจสุขภาพ	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
OD4	ห้องวิสัญญี	สาขาวิชาวิสัญญีวิทยา
OF1	พันธุศาสตร์	สาขาวิชาพยาธิวิทยา
OD9	คอลโปสโคป	สาขาวิชาสูติศาสตร์และนรีเวชวิทยา
OD8	หูคอจมูก-Hearing A.	สาขาวิชาโสต ศอ นาสิกวิทยา
OD7	หูคอจมูก-ฝึกพูด	สาขาวิชาโสต ศอ นาสิกวิทยา
OF7	นอกเวลาเด็ก-วัยรุ่น	สาขาวิชากุมารเวชศาสตร์
OF4	มีบุตรยาก	สาขาวิชาสูติศาสตร์และนรีเวชวิทยา
OF3	ครรภ์เสี่ยงสูง	สาขาวิชาสูติศาสตร์และนรีเวชวิทยา
OF2	สถาบัน NKC	สาขาวิชาอายุรศาสตร์
OF5	นอกเวลาทั่วไป	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
OE1	เฝือก-มือ/จุลศัลยฯ	สาขาวิชาออร์โธปิดิกส์
OF6	เด็ก-วัยรุ่น	สาขาวิชากุมารเวชศาสตร์
OF8	เฝือก-กุมาร	สาขาวิชาออร์โธปิดิกส์
OF9	เฝือก-กระดูกสันหลัง	สาขาวิชาออร์โธปิดิกส์
OE2	เฝือก-การกีฬา	สาขาวิชาออร์โธปิดิกส์
OG1	TEST-ENDO	สาขาวิชาอายุรศาสตร์
OE9	ศัลย-หลอดเลือด	สาขาวิชาศัลยศาสตร์
OE5	เด็ก-EEG	สาขาวิชากุมารเวชศาสตร์
OE3	อายุร-โรคข้ออักเสบ	สาขาวิชาอายุรศาสตร์
OE4	นอกเวลาศัลย์	สาขาวิชาศัลยศาสตร์
OE7	นอกเวลา-อายุโรคหัวใจ	สาขาวิชาอายุรศาสตร์
OE8	นอกเวลาศัลย์โรคหัวใจ	สาขาวิชาศัลยศาสตร์
OE6	นอกเวลาศูนย์โรคหัวใจ	สาขาวิชาอายุรศาสตร์
OG2	ตา-NEURO	สาขาวิชาจักษุวิทยา
OG4	อายุร-ICU	สาขาวิชาอายุรศาสตร์
OG3	อายุร-ASTHMA	สาขาวิชาอายุรศาสตร์
OG5	นอกเวลา-อายุร ไต	สาขาวิชาอายุรศาสตร์
OG6	นอกเวลาศัลยหลอดเลือด	สาขาวิชาศัลยศาสตร์
OG8	อายุร-ลมชัก	สาขาวิชาอายุรศาสตร์
OG9	หูคอจมูก-CMT-H$N	สาขาวิชาโสต ศอ นาสิกวิทยา
OH1	นอกเวลากระดูก(เฝือก)	สาขาวิชาออร์โธปิดิกส์
OH2	ฟื้นฟู-ไฟฟ้าวินิจฉัย	สาขาวิชาเวชศาสตร์ฟื้นฟู
OH3	นอกเวลา-ฟื้นฟูฯ	สาขาวิชาเวชศาสตร์ฟื้นฟู
OH4	วันพ่อ-ตรวจมะเร็ง	สาขาวิชาออร์โธปิดิกส์
OH9	ตา-ตรวจสุขภาพ	สาขาวิชาจักษุวิทยา
OH7	ศูนย์ให้ยาเคมีบำบัด	สาขาวิชาอายุรศาสตร์
OH5	นรีเวช-Chemo	สาขาวิชาสูติศาสตร์และนรีเวชวิทยา
OH6	ฝากครรภ์-Chemo	สาขาวิชาสูติศาสตร์และนรีเวชวิทยา
OH8	ผิวหนัง-ฉายแสง	สาขาวิชาอายุรศาสตร์
OI4	อายุร-อดบุหรี่	สาขาวิชาอายุรศาสตร์
OI2	ตา-CTVF	สาขาวิชาจักษุวิทยา
OI1	อายุร-study1AZTHRO	สาขาวิชาอายุรศาสตร์
OI3	นอกเวลาอายุร-ปอด	สาขาวิชาอายุรศาสตร์
OI5	ฟื้นฟู-Neuro	สาขาวิชาเวชศาสตร์ฟื้นฟู
OI6	ฟื้นฟู-Pain	สาขาวิชาเวชศาสตร์ฟื้นฟู
OI8	เฝือก-ข้อเทียม	สาขาวิชาออร์โธปิดิกส์
OI7	อายุร-ฉีดยาข้อ	สาขาวิชาอายุรศาสตร์
OI9	ฟื้นฟู-กุมาร	สาขาวิชาเวชศาสตร์ฟื้นฟู
OJ1	หูคอจมูก-วันมหิดล	สาขาวิชาโสต ศอ นาสิกวิทยา
OJ2	Home care	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
OJ4	ทันต-วันมหิดล	ฝ่ายทันตกรรม
OJ3	นอกเวลา-สถาบัน NKC	สาขาวิชาอายุรศาสตร์
OJ7	ตา-วันมหิดล	สาขาวิชาจักษุวิทยา
OK2	ตา-OPRC	สาขาวิชาจักษุวิทยา
OL2	อายุร-PD&mvt_disorde	สาขาวิชาอายุรศาสตร์
OK5	ตา-วันพ่อ	สาขาวิชาจักษุวิทยา
OK4	กระดูกสูงวัย	สาขาวิชาออร์โธปิดิกส์
OK6	เด็ก-Development	สาขาวิชากุมารเวชศาสตร์
OK7	คลังเลือด	สาขาวิชาพยาธิวิทยา
OL4	ตา-ตาปลอม	สาขาวิชาจักษุวิทยา
OK9	นอกเวลาUltrasoundสูต	สาขาวิชาสูติศาสตร์และนรีเวชวิทยา
OL3	ฝ่ายเภสัช	ฝ่ายเภสัชกรรม
OL1	หน่วยสังเกตอาการ	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
OL5	เฝือก-TR	สาขาวิชาออร์โธปิดิกส์
OL6	ตรวจสุขภาพ-ปฐมภูมิ	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
OL7	นอกเวลา-อายุรโรคข้อ	สาขาวิชาอายุรศาสตร์
OL8	ศัลย-อุบัติเหตุ	สาขาวิชาศัลยศาสตร์
OM1	หูคอจมูก-VDO Flu	สาขาวิชาโสต ศอ นาสิกวิทยา
OL9	หูคอจมูก-EMG	สาขาวิชาโสต ศอ นาสิกวิทยา
OM2	หูคอจมูก-BSER	สาขาวิชาโสต ศอ นาสิกวิทยา
OM3	หูคอจมูก-Skin test	สาขาวิชาโสต ศอ นาสิกวิทยา
OM4	หูคอจมูก-Manometry	สาขาวิชาโสต ศอ นาสิกวิทยา
OM6	นอกเวลา-ศัลยลำไส้ใหญ	สาขาวิชาศัลยศาสตร์
OM5	นอกเวลาผิวหนัง	สาขาวิชาอายุรศาสตร์
OM9	เด็ก-โรคลมชัก	สาขาวิชากุมารเวชศาสตร์
OM8	ศูนย์จองห้องพิเศษ	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
ON2	Cath Lab	สาขาวิชาอายุรศาสตร์
ON3	นรีเวช-URO	สาขาวิชาสูติศาสตร์และนรีเวชวิทยา
ON4	ตา-one day surgery	สาขาวิชาจักษุวิทยา
ON5	หูคอจมูก-นัดนอน รพ.	สาขาวิชาโสต ศอ นาสิกวิทยา
ON6	นอกเวลาฉุกเฉิน	สาขาวิชาเวชศาสตร์ฉุกเฉิน
ON7	ตา-gold mann VF	สาขาวิชาจักษุวิทยา
ON8	ตา-ERG	สาขาวิชาจักษุวิทยา
ON9	ศัลย-เด็ก Onco	สาขาวิชาศัลยศาสตร์
OO2	ศูนย์คัดกรองผู้ป่วย	สาขาวิชาอายุรศาสตร์
OO3	ห้องคลื่นหัวใจ-PPM	สาขาวิชาอายุรศาสตร์
OO4	นอกเวลาอายุร-เบาหวาน	สาขาวิชาอายุรศาสตร์
OO5	นรีเวช-ENDO	สาขาวิชาสูติศาสตร์และนรีเวชวิทยา
OO6	ตา-amblyopia	สาขาวิชาจักษุวิทยา
OO7	นอกเวลา-ผิวหนังBoTox	สาขาวิชาอายุรศาสตร์
OO9	นอกเวลา-โรคตับ NKC	สาขาวิชาอายุรศาสตร์
OP2	ตา-Uveitis	สาขาวิชาจักษุวิทยา
OP3	ศูนย์ถันยเวชช์	ศูนย์ถันยเวชช์เฉลิมพระเกียรติ
OP5	U/S-GYN	สาขาวิชาสูติศาสตร์และนรีเวชวิทยา
OP6	U/S-Screening	สาขาวิชาสูติศาสตร์และนรีเวชวิทยา
OP7	U/S-Amniocentesis	สาขาวิชาสูติศาสตร์และนรีเวชวิทยา
OP8	เด็ก-Continuity	สาขาวิชากุมารเวชศาสตร์
OP9	ฟื้นฟู-หัวใจ	สาขาวิชาเวชศาสตร์ฟื้นฟู
OQ1	ศูนย์ฟื้นฟูสมรรถภาพ	สาขาวิชาเวชศาสตร์ฟื้นฟู
OQ2	คลังเลือด	สาขาวิชาพยาธิวิทยา
OQ3	อายุร-Bell s Palsy	สาขาวิชาอายุรศาสตร์
OQ4	เวชสำอาง	สาขาวิชาอายุรศาสตร์
OQ5	เด็ก-นมแม่	สาขาวิชากุมารเวชศาสตร์
OQ6	ศูนย์มะเร็ง	ศูนย์สารสนเทศมะเร็ง
OQ7	คัดกรองโรคฉี่หนู	สาขาวิชาอายุรศาสตร์
OQ8	ศัลย-VASCULAR-ฟอกไต	สาขาวิชาศัลยศาสตร์
OR2	นอกเวลาฝังเข็ม	สาขาวิชาวิสัญญีวิทยา
OR3	หูคอจมูก-facial plas	สาขาวิชาโสต ศอ นาสิกวิทยา
OR4	ผิวหนัง-สะเก็ดเงิน	สาขาวิชาอายุรศาสตร์
OR5	ศูนย์Chemo-เด็ก	สาขาวิชาอายุรศาสตร์
OR6	นอกเวลา-ศูนย์ถันยเวช	ศูนย์ถันยเวชช์เฉลิมพระเกียรติ
OR7	ตา-DIURNAL	สาขาวิชาจักษุวิทยา
OR8	สุขภาพนักศึกษา	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
OR9	NKC-หัตถการ	สาขาวิชาอายุรศาสตร์
OS4	นอกเวลา-ศัลย Plastic	สาขาวิชาศัลยศาสตร์
OS5	ผิวหนัง-Laser	สาขาวิชาอายุรศาสตร์
OS6	นอกเวลาผิวหนัง-Laser	สาขาวิชาอายุรศาสตร์
OS7	ตา-บริจาครก	สาขาวิชาจักษุวิทยา
OS8	เด็ก-Echocardiogram	สาขาวิชากุมารเวชศาสตร์
OS9	เด็ก-Allergy	สาขาวิชากุมารเวชศาสตร์
OT8	อาชีวเวชศาสตร์	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
OT9	เด็ก-ทดสอบภูมิแพ้	สาขาวิชากุมารเวชศาสตร์
OU0	อุบัติเหตุหมู่	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
OT1	หูคอจมูก-ตรวจการได้ย	สาขาวิชาโสต ศอ นาสิกวิทยา
OT2	เด็ก-ทดสอบสมรรถภาพปอ	สาขาวิชากุมารเวชศาสตร์
OU1	แม่วัยใส	สาขาวิชากุมารเวชศาสตร์
OU2	TEST-ENDO-FNA	สาขาวิชาอายุรศาสตร์
OU3	หูคอจมูก-OAEs	สาขาวิชาโสต ศอ นาสิกวิทยา
OU4	หูคอจมูก-Vestibular 	สาขาวิชาโสต ศอ นาสิกวิทยา
OU5	หูคอจมูก-CI	สาขาวิชาโสต ศอ นาสิกวิทยา
OU6	หูคอจมูก-Hearing Aid	สาขาวิชาโสต ศอ นาสิกวิทยา
OU7	เด็ก-Nutrition	สาขาวิชากุมารเวชศาสตร์
OU8	Anesthesia for SDC	สาขาวิชาวิสัญญีวิทยา
OU9	ตา-มาคูลา	สาขาวิชาจักษุวิทยา
OV2	นอกเวลาHepatobiliary	สาขาวิชาศัลยศาสตร์
OV3	ส่งเสริมสุขภาพ	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
OV4	ศูนย์บำบัดทดแทนไต	สาขาวิชาอายุรศาสตร์
OV5	ห้อง Sleep Lab	สาขาวิชาจิตเวชศาสตร์
OV6	งานโภชนาการ	สาขาวิชาอายุรศาสตร์
OV7	ตา-DM PCU	สาขาวิชาจักษุวิทยา
OV8	เด็ก-Immunotherapy	สาขาวิชากุมารเวชศาสตร์
OV9	เด็ก-IVIG	สาขาวิชากุมารเวชศาสตร์
OW0	นอกเวลาตา-CTVF+GVF	สาขาวิชาจักษุวิทยา
OW1	ผิวหนังวีดีแกรนูโลมา	สาขาวิชาอายุรศาสตร์
OW2	อายุร-EarlyArthritis	สาขาวิชาอายุรศาสตร์
OW4	อายุร-Ambulatory 	สาขาวิชาอายุรศาสตร์
OW5	ผิวหนังผื่นแพ้สัมผัส	สาขาวิชาอายุรศาสตร์
OW6	ศัลย-โรคอ้วน	สาขาวิชาศัลยศาสตร์
OW7	นอกเวลาศัลย-MIS	สาขาวิชาศัลยศาสตร์
OW8	อายุร-Nutrition 	สาขาวิชาอายุรศาสตร์
OW9	เด็ก-Rheumatolgy	สาขาวิชากุมารเวชศาสตร์
OX2	เด็ก-Asthma	สาขาวิชากุมารเวชศาสตร์
OX3	ด่านหน้า	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
OX4	รร.พ่อแม่ ANC	สาขาวิชากุมารเวชศาสตร์
OX5	รร.พ่อแม่ GA36week	สาขาวิชากุมารเวชศาสตร์
OX6	รร.พ่อแม่ LR	สาขาวิชากุมารเวชศาสตร์
OX7	รร.พ่อแม่ OPDเด็ก	สาขาวิชากุมารเวชศาสตร์
OX8	เด็ก-DM	สาขาวิชากุมารเวชศาสตร์
O0A	วิจัย-CRC	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O0B	หูคอจมูก-UNHS	สาขาวิชาโสต ศอ นาสิกวิทยา
O0C	ธนาคารแห่งประเทศไทย	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O0D	ภาควิชากายภาพบำบัด	สาขาวิชากายภาพบำบัด
O0E	ตรวจสุขภาพ-ปกส.	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O0F	เฝือก-ONCO	สาขาวิชาออร์โธปิดิกส์
O0G	ตา-พิเศษRatina	สาขาวิชาจักษุวิทยา
O0H	ตรวจสุขภาพ-Premium	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O0I	Happy	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O0J	พิเศษ-อายุรกรรม 	สาขาวิชาอายุรศาสตร์
O0K	พิเศษ-ศัลยกรรม 	สาขาวิชาศัลยศาสตร์
O0L	นมแม่	สาขาวิชากุมารเวชศาสตร์
O0N	ระบบทดสอบ	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O0M	เด็ก-Hemato-ให้เลือด	สาขาวิชากุมารเวชศาสตร์
O0O	พิเศษ-เด็ก 	สาขาวิชากุมารเวชศาสตร์
O0P	นอกเวลาศัลย-ปัสสาวะ	สาขาวิชาศัลยศาสตร์
O0Q	อายุร-โภชนศาสตร์	สาขาวิชาอายุรศาสตร์
O0R	อายุร-เวชบำบัดวิกฤต	สาขาวิชาอายุรศาสตร์
O0U	นรีเวช-ChemoOPD	สาขาวิชาสูติศาสตร์และนรีเวชวิทยา
O0X	พิเศษ-จิตเวช	สาขาวิชาจิตเวชศาสตร์
O0Y	พิเศษ-ทดสอบภูมิแพ้	สาขาวิชากุมารเวชศาสตร์
O0Z	นอกเวลาP-CheckUP	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O1A	พิเศษ-ผิวหนัง	สาขาวิชาอายุรศาสตร์
O1B	นอกเวลาP-ผิวหนัง	สาขาวิชาอายุรศาสตร์
O1D	พิเศษ-FloatPremium	สาขาวิชาอายุรศาสตร์
O1E	พิเศษ-ตา	สาขาวิชาจักษุวิทยา
O1F	พิเศษ-กระดูกและข้อ	สาขาวิชาออร์โธปิดิกส์
O1G	พิเศษ-นิ้วล๊อค	สาขาวิชาออร์โธปิดิกส์
O1H	พิเศษ-สูตินรีเวช	สาขาวิชาสูติศาสตร์และนรีเวชวิทยา
O1I	ห้องแยกไอโอดีน	สาขาวิชารังสีวิทยา
O1J	ตา-Ocular onco	สาขาวิชาจักษุวิทยา
O1K	Palliative Home Care	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O1L	ศูนย์ AmbulatoryCare	สาขาวิชาศัลยศาสตร์
O1N	ศูนย์ Ambu-Premium	สาขาวิชาศัลยศาสตร์
O1O	ศูนย์หลอดเลือด	สาขาวิชารังสีวิทยา
O1P	วิจัย-SOC	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O1Q	PSU LASIK CENTER	สาขาวิชาจักษุวิทยา
O1T	Med Health	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O1R	ศัลย-CVT-Valve	สาขาวิชาศัลยศาสตร์
O1S	ศูนย์-หัวใจเต้นระริก	สาขาวิชาอายุรศาสตร์
O1U	ศูนย์-หัวใจล้มเหลว	สาขาวิชาอายุรศาสตร์
O1V	พิเศษ-ศัลยหลอดเลือด	สาขาวิชาศัลยศาสตร์
O1Y	นอกเวลาP-ศัลยกรรม	สาขาวิชาศัลยศาสตร์
O1X	พิเศษ-Pain Clinic 	สาขาวิชาวิสัญญีวิทยา
O1Z	นอกเวลาศัลย์ Neuro	สาขาวิชาศัลยศาสตร์
O2B	พิเศษ-ห้องผ่าตัด	สาขาวิชาวิสัญญีวิทยา
O2C	พิเศษ-ห้องผ่าตัดเล็ก	สาขาวิชาวิสัญญีวิทยา
O2D	พิเศษ-เวชปฎิบัติ	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O2E	นอกเวลาP-เวชปฎิฯ	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O2F	นอกเวลาP-เด็ก	สาขาวิชากุมารเวชศาสตร์
O2G	นอกเวลาP-อายุรกรรม	สาขาวิชาอายุรศาสตร์
O2H	นอกเวลาP-กระดูกและข้	สาขาวิชาออร์โธปิดิกส์
O2I	พิเศษ-หัตถการรวม	สาขาวิชาเวชศาสตร์ครอบครัวและเวชศาสตร์ป้องกัน
O2J	ศูนย์โรคหัวใจPremium	สาขาวิชาอายุรศาสตร์
O2K	สถาบัน NKC-Premium	สาขาวิชาอายุรศาสตร์
O2L	ศูนย์จอตา-FFA	สาขาวิชาจักษุวิทยา
O2M	ศูนย์จอตา-Retina	สาขาวิชาจักษุวิทยา
O2N	ศูนย์จอตา-Onco	สาขาวิชาจักษุวิทยา
O2O	ศูนย์จอตา-ฉีดยาตา	สาขาวิชาจักษุวิทยา
O2P	ศูนย์จอตา-Laser	สาขาวิชาจักษุวิทยา
O2Q	ศูนย์จอตาและเลเซอร์	สาขาวิชาจักษุวิทยา
O2A	นอกเวลาP-PSU LASIK	สาขาวิชาจักษุวิทยา
O2R	พิเศษ-หูคอจมูก	สาขาวิชาโสต ศอ นาสิกวิทยา
O2S	นอกเวลาP-หูคอจมูก	สาขาวิชาโสต ศอ นาสิกวิทยา
O2T	นอกเวลาP-ทดสอบภูมิแพ	สาขาวิชากุมารเวชศาสตร์
O2U	นอกเวลาP-ตา	สาขาวิชาจักษุวิทยา
O2V	นอกเวลาP-สูตินรีเวช	สาขาวิชาสูติศาสตร์และนรีเวชวิทยา
O2W	นอกเวลาP-จิตเวช	สาขาวิชาจิตเวชศาสตร์
O2X	พิเศษ-อายุScopeปอด 	สาขาวิชาอายุรศาสตร์
O2Y	ตา-Lid hygiene	สาขาวิชาจักษุวิทยา
O2Z	ศูนย์จอตา-RC	สาขาวิชาจักษุวิทยา
O3A	ศัลย-Wound and lymph	สาขาวิชาศัลยศาสตร์
